"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,90 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,10 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,21 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,8 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,17 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,11 ,
"01-465 Fairbanks No. 2" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,16 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,70 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,65 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,90 ,
"01-465 Fairbanks No. 2" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Kelly, Pete" ,"REP" ,"Total" ,72 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,70 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,60 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1226 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,90 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"LeBon, Barton S." ,"REP" ,"Total" ,51 ,
"01-465 Fairbanks No. 2" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Falke, Wolfgang" ,"REP" ,"Total" ,32 ,
"01-470 Fairbanks No. 3" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,151 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,12 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,95 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,12 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,25 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,144 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,22 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,27 ,
"01-470 Fairbanks No. 3" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,89 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,151 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,106 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,21 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,144 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,3 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,66 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,6 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,3 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,4 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,58 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,151 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,107 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,144 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,14 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,29 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,8 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,43 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,17 ,
"01-470 Fairbanks No. 3" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,15 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,151 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,137 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,144 ,
"01-470 Fairbanks No. 3" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Kelly, Pete" ,"REP" ,"Total" ,109 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,151 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,137 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,1548 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,144 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"LeBon, Barton S." ,"REP" ,"Total" ,99 ,
"01-470 Fairbanks No. 3" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Falke, Wolfgang" ,"REP" ,"Total" ,40 ,
"01-475 Fairbanks No. 4" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,4 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,31 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,7 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,7 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,65 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,10 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,11 ,
"01-475 Fairbanks No. 4" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,44 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,43 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,6 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,65 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,25 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,0 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,6 ,
"01-475 Fairbanks No. 4" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,30 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Call, Debra L." ,"DEM" ,"Total" ,38 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,65 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Gattis, Lynn" ,"REP" ,"Total" ,5 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Grunwald, Edie" ,"REP" ,"Total" ,22 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Jackson, Sharon D." ,"REP" ,"Total" ,6 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Meyer, Kevin G." ,"REP" ,"Total" ,14 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Stevens, Gary L." ,"REP" ,"Total" ,7 ,
"01-475 Fairbanks No. 4" ,"LIEUTENANT GOVERNOR (R)" ,"REP" ,"NP" ,"Wright, Stephen" ,"REP" ,"Total" ,4 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (ADL)" ,"ADL" ,"NP" ,"Kawasaki, Scott" ,"DEM" ,"Total" ,48 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,65 ,
"01-475 Fairbanks No. 4" ,"SENATE DISTRICT A (R)" ,"REP" ,"NP" ,"Kelly, Pete" ,"REP" ,"Total" ,49 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,52 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (ADL)" ,"ADL" ,"NP" ,"Dodge, Kathryn E." ,"DEM" ,"Total" ,48 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,779 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,65 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"LeBon, Barton S." ,"REP" ,"Total" ,45 ,
"01-475 Fairbanks No. 4" ,"HOUSE DISTRICT 1 (R)" ,"REP" ,"NP" ,"Falke, Wolfgang" ,"REP" ,"Total" ,20 ,
"01-480 Fairbanks No. 5" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-480 Fairbanks No. 5" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-480 Fairbanks No. 5" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-480 Fairbanks No. 5" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-480 Fairbanks No. 5" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2203 ,
"01-480 Fairbanks No. 5" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,116 ,
"01-480 Fairbanks No. 5" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,7 ,
